gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
1,30,0.5593724250793457,0.7295610308647156,0.5480031371116638,0.4831491708755493,0.6763732433319092,0.6848668456077576,3.4,2.8,4.8,4.5,4.3
2,20,0.6412073969841003,0.6948385238647461,0.451297789812088,0.4681953191757202,0.6748215556144714,0.5379341244697571,4.2,3.3,4.3,4.4,4.0
1,48,0.5556423664093018,0.6949231028556824,0.5008546113967896,0.5565882921218872,0.6279110908508301,0.5785692930221558,2.8,4.2,4.5,3.4,2.9
2,24,0.5835329294204712,0.7748297452926636,0.5591939091682434,0.6211800575256348,0.5309632420539856,0.632023811340332,3.4,3.9,4.9,4.3,4.5
1,58,0.6857454776763916,0.6584505438804626,0.5505449771881104,0.4812517464160919,0.656450629234314,0.6854075193405151,3.5,4.2,4.4,4.0,3.1
2,45,0.6047654151916504,0.6101261973381042,0.5277811288833618,0.533205509185791,0.5524107217788696,0.6646652221679688,4.8,3.2,4.4,4.0,4.6
2,41,0.649835467338562,0.6237463355064392,0.5236383080482483,0.520465075969696,0.5405311584472656,0.6053410172462463,3.3,4.7,4.6,4.4,3.1
1,33,0.41847047209739685,0.6889259219169617,0.6157612204551697,0.6211400032043457,0.6502785086631775,0.6881847381591797,4.7,2.7,4.7,4.2,3.0
2,26,0.6251352429389954,0.6139941215515137,0.6390823125839233,0.5805834531784058,0.6649608016014099,0.5844517350196838,3.6,3.0,3.6,4.2,4.5
2,26,0.6251352429389954,0.6139941215515137,0.6390823125839233,0.5805834531784058,0.6649608016014099,0.5844517350196838,3.6,3.0,3.6,4.2,4.5
2,31,0.598109245300293,0.6455206871032715,0.5087035298347473,0.5837063789367676,0.6649608016014099,0.5617650747299194,3.9,3.5,4.8,3.8,2.1
1,59,0.6737787127494812,0.7444071173667908,0.4941251873970032,0.46275296807289124,0.655458390712738,0.5828544497489929,3.9,4.2,4.4,5.0,5.0
1,21,0.5556423664093018,0.7581347823143005,0.5306926369667053,0.5420029163360596,0.651298999786377,0.5685787796974182,4.0,3.0,4.3,3.8,3.3
2,61,0.5733538866043091,0.584278404712677,0.4792419672012329,0.5518730282783508,0.6413639187812805,0.6171714067459106,5.0,4.2,4.9,4.9,3.5
2,50,0.6320514678955078,0.6977192163467407,0.5760460495948792,0.48757657408714294,0.5524107217788696,0.6841349601745605,3.9,3.8,3.8,4.5,4.8
1,48,0.6251352429389954,0.7022562623023987,0.5630421042442322,0.5921374559402466,0.5899796485900879,0.6427397131919861,1.7,2.6,4.1,2.8,3.5
1,34,0.6013171076774597,0.6617013812065125,0.46317699551582336,0.4908895492553711,0.6550636291503906,0.7487314939498901,2.3,3.7,3.0,4.0,2.4
1,26,0.5964601635932922,0.6062153577804565,0.6395551562309265,0.6090493202209473,0.6242661476135254,0.7355098724365234,2.4,4.3,4.3,2.5,2.6
1,19,0.619023323059082,0.7274178266525269,0.43839335441589355,0.4265400767326355,0.644450306892395,0.5980954766273499,2.8,4.6,2.7,4.1,3.5
2,33,0.6087383031845093,0.5904549360275269,0.44561052322387695,0.4213850498199463,0.5524107217788696,0.5502598285675049,2.3,2.3,3.7,3.7,4.2
2,36,0.5768062472343445,0.6876197457313538,0.6276352405548096,0.4419432282447815,0.6989521980285645,0.5949490666389465,3.7,3.3,4.3,4.8,4.1
2,21,0.652053952217102,0.6766330003738403,0.6571454405784607,0.6406927108764648,0.6413639187812805,0.6655884981155396,3.2,2.8,4.2,4.6,3.2
2,20,0.6210196614265442,0.5951215028762817,0.6145386695861816,0.6241171360015869,0.6592085957527161,0.6520532369613647,3.7,3.1,4.1,4.1,3.8
2,35,0.6175230145454407,0.6174678802490234,0.6456425189971924,0.5564858913421631,0.6034463047981262,0.6592081189155579,2.6,5.0,4.2,4.6,5.0
1,29,0.5864288210868835,0.646015465259552,0.6323027610778809,0.636212944984436,0.5562971234321594,0.6427397131919861,2.4,3.1,4.0,4.0,3.5
2,36,0.5932821035385132,0.7215622663497925,0.49344295263290405,0.4993949234485626,0.6717094779014587,0.6213781237602234,3.7,2.1,4.1,4.4,3.4
1,29,0.5864288210868835,0.646015465259552,0.6323027610778809,0.636212944984436,0.5562971234321594,0.6427397131919861,2.4,3.1,4.0,4.0,3.5
1,32,0.6293961405754089,0.7143183350563049,0.6825830936431885,0.6505876183509827,0.633794903755188,0.5764325857162476,4.1,4.5,4.7,4.3,3.9
