gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
1,30,0.17990577220916748,0.32107365131378174,0.33549249172210693,0.04333072155714035,0.11509380489587784,0.18933384120464325,3.4,2.8,4.8,4.5,4.3
2,20,0.6100525856018066,0.13695231080055237,0.15542271733283997,0.037103015929460526,0.2925291061401367,0.17699715495109558,4.2,3.3,4.3,4.4,4.0
1,48,0.04499208554625511,0.1765725016593933,0.2045287787914276,0.36131805181503296,0.2490154504776001,0.09262857586145401,2.8,4.2,4.5,3.4,2.9
2,24,0.15281355381011963,0.47506892681121826,0.09122684597969055,0.2706487774848938,0.10506419837474823,0.11514697223901749,3.4,3.9,4.9,4.3,4.5
1,58,0.44910237193107605,0.44873911142349243,0.3020429015159607,0.15386748313903809,0.0373988151550293,0.19278880953788757,3.5,4.2,4.4,4.0,3.1
2,45,0.08210811018943787,0.17916394770145416,0.14357143640518188,0.1712314486503601,0.30198705196380615,0.10395259410142899,4.8,3.2,4.4,4.0,4.6
2,41,0.12463771551847458,0.18680648505687714,0.40673184394836426,0.21543753147125244,0.1035289615392685,-0.020214056596159935,3.3,4.7,4.6,4.4,3.1
1,33,0.12716281414031982,0.28236353397369385,0.18793296813964844,0.2149197906255722,0.2015959918498993,0.21262693405151367,4.7,2.7,4.7,4.2,3.0
2,26,0.05644821748137474,0.12770070135593414,0.12117329239845276,0.1654759645462036,0.23206880688667297,0.07485020160675049,3.6,3.0,3.6,4.2,4.5
2,26,0.05644821748137474,0.12770070135593414,0.12117329239845276,0.1654759645462036,0.23206880688667297,0.07485020160675049,3.6,3.0,3.6,4.2,4.5
2,31,0.18810273706912994,0.1693665236234665,0.4140142798423767,0.22747963666915894,0.23206880688667297,0.00790000706911087,3.9,3.5,4.8,3.8,2.1
1,59,0.057900793850421906,0.045956678688526154,0.17116926610469818,0.14618393778800964,0.416709840297699,0.10309161245822906,3.9,4.2,4.4,5.0,5.0
1,21,0.03769358620047569,0.46056681871414185,0.20091716945171356,0.10837998241186142,0.14250919222831726,0.13469302654266357,4.0,3.0,4.3,3.8,3.3
2,61,0.1034824401140213,0.0770476907491684,0.3265405297279358,0.22643475234508514,0.21471600234508514,0.19535651803016663,5.0,4.2,4.9,4.9,3.5
2,50,0.13740947842597961,0.07258487492799759,0.2732822597026825,0.08495844900608063,0.30198705196380615,0.06078649312257767,3.9,3.8,3.8,4.5,4.8
1,48,0.05644821748137474,0.12595334649085999,0.10257057845592499,0.16668224334716797,0.17042529582977295,0.14697794616222382,1.7,2.6,4.1,2.8,3.5
1,34,0.07433978468179703,0.05742231383919716,0.12290048599243164,0.11701178550720215,0.21890926361083984,0.21037709712982178,2.3,3.7,3.0,4.0,2.4
1,26,0.17382052540779114,0.044486623257398605,0.4622415602207184,0.48995599150657654,0.16101151704788208,0.5310642123222351,2.4,4.3,4.3,2.5,2.6
1,19,0.20813968777656555,0.37686073780059814,0.20892521739006042,0.15548333525657654,0.15811312198638916,0.12451900541782379,2.8,4.6,2.7,4.1,3.5
2,33,0.19844748079776764,0.06864290684461594,0.10714644193649292,0.07928511500358582,0.30198705196380615,0.18779489398002625,2.3,2.3,3.7,3.7,4.2
2,36,0.027131982147693634,0.4553617238998413,0.10374930500984192,0.04833156615495682,0.37822750210762024,0.17054983973503113,3.7,3.3,4.3,4.8,4.1
2,21,0.01189957745373249,0.10984024405479431,0.3764445185661316,0.32250717282295227,0.21606996655464172,0.14696839451789856,3.2,2.8,4.2,4.6,3.2
2,20,0.259774774312973,0.038732320070266724,0.11887013167142868,0.1888667345046997,0.2634187340736389,0.14028321206569672,3.7,3.1,4.1,4.1,3.8
2,35,0.07488512992858887,0.18827036023139954,0.12147808820009232,0.1488528549671173,0.2670266032218933,0.5164636373519897,2.6,5.0,4.2,4.6,5.0
1,29,0.17889311909675598,0.2067202478647232,0.19241195917129517,0.20671838521957397,0.2659462094306946,0.14697794616222382,2.4,3.1,4.0,4.0,3.5
2,36,0.1338682472705841,0.46382224559783936,0.12888894975185394,0.15072762966156006,0.21439331769943237,0.10623523592948914,3.7,2.1,4.1,4.4,3.4
1,29,0.17889311909675598,0.2067202478647232,0.19241195917129517,0.20671838521957397,0.2659462094306946,0.14697794616222382,2.4,3.1,4.0,4.0,3.5
1,32,0.31941813230514526,0.26801881194114685,0.25459396839141846,0.31273502111434937,0.28508543968200684,0.19209887087345123,4.1,4.5,4.7,4.3,3.9
1,37,0.043910108506679535,0.2905806303024292,0.22218480706214905,0.06364911049604416,0.26725971698760986,0.06467939913272858,4.2,3.5,3.4,3.8,2.2
1,38,0.13928420841693878,0.22921547293663025,0.3882691264152527,0.1494339257478714,0.30198705196380615,0.4030874967575073,2.7,2.4,5.0,4.7,2.6
2,22,0.25765538215637207,0.18065312504768372,0.0646231472492218,0.17030459642410278,0.24987535178661346,0.11128447204828262,3.0,1.6,4.2,4.1,3.3
2,24,0.00961378589272499,0.14295782148838043,0.27263158559799194,0.1671675741672516,0.15694284439086914,0.14419490098953247,3.3,1.8,3.7,4.3,2.5
1,27,0.2791236937046051,0.15079225599765778,0.1624068319797516,0.3152046799659729,0.24721238017082214,0.20943540334701538,4.7,1.7,4.4,2.5,4.1
1,47,0.10882909595966339,0.20933765172958374,0.11982150375843048,0.12018042802810669,0.21667033433914185,0.15422803163528442,1.3,1.7,2.6,3.0,4.0
1,28,0.18398600816726685,0.11708591878414154,0.16610273718833923,0.14389748871326447,0.15510794520378113,0.312632292509079,3.8,3.6,3.5,4.2,2.8
1,23,0.11919184029102325,0.43238407373428345,0.3882691264152527,0.20670165121555328,0.21606996655464172,0.13469302654266357,1.3,3.2,3.6,3.2,4.1
2,54,0.34053176641464233,0.2773680090904236,0.38357746601104736,0.08832954615354538,0.20049208402633667,0.166187584400177,3.2,3.5,4.2,4.6,4.0
2,38,0.18025468289852142,0.29840826988220215,0.13986711204051971,0.08484329283237457,0.2009579837322235,0.09304432570934296,3.6,3.5,3.4,4.2,3.5
2,19,0.05644821748137474,0.16455325484275818,0.20814555883407593,0.19693633913993835,0.22777727246284485,0.22060653567314148,4.6,2.5,4.4,3.9,2.2
1,38,0.26765111088752747,0.1639564335346222,0.05771057307720184,0.16369947791099548,0.0924706980586052,0.13877049088478088,2.6,2.5,2.8,3.2,2.6
2,29,0.10044620931148529,0.14672264456748962,0.3764445185661316,0.19729125499725342,0.29494142532348633,0.18224981427192688,4.0,3.2,3.9,4.2,4.1
1,28,0.13689522445201874,0.07246928662061691,0.16610600054264069,0.09927583485841751,0.17616607248783112,0.13030916452407837,3.7,3.6,4.2,3.1,3.4
