gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
1,30,0.6745371222496033,0.798599898815155,0.4108653664588928,0.45576512813568115,0.7615022659301758,0.5382258296012878,3.4,2.8,4.8,4.5,4.3
2,20,0.7097601890563965,0.5280342102050781,0.44077450037002563,0.4830668270587921,0.6874114871025085,0.5424965023994446,4.2,3.3,4.3,4.4,4.0
1,48,0.33225512504577637,0.5844175815582275,0.3051861822605133,0.7347657084465027,0.5822359919548035,0.43229377269744873,2.8,4.2,4.5,3.4,2.9
2,24,0.36194026470184326,0.8783437609672546,0.45199230313301086,0.42058849334716797,0.48112034797668457,0.7673290967941284,3.4,3.9,4.9,4.3,4.5
1,58,0.684974730014801,0.6874450445175171,0.4462209939956665,0.1922372728586197,0.3641681969165802,0.40717393159866333,3.5,4.2,4.4,4.0,3.1
2,45,0.3138514757156372,0.468866765499115,0.38281089067459106,0.5203519463539124,0.5874683856964111,0.29288449883461,4.8,3.2,4.4,4.0,4.6
2,41,0.5263376235961914,0.5728833675384521,0.3649497926235199,0.4190492630004883,0.36912405490875244,0.19243648648262024,3.3,4.7,4.6,4.4,3.1
1,33,0.3656965494155884,0.5340005159378052,0.46971333026885986,0.4571261703968048,0.5479557514190674,0.5313671231269836,4.7,2.7,4.7,4.2,3.0
2,26,0.7012351751327515,0.3952355682849884,0.4626086354255676,0.4061602056026459,0.7878621220588684,0.5110630989074707,3.6,3.0,3.6,4.2,4.5
2,26,0.7012351751327515,0.3952355682849884,0.4626086354255676,0.4061602056026459,0.7878621220588684,0.5110630989074707,3.6,3.0,3.6,4.2,4.5
2,31,0.4266056418418884,0.5482982397079468,0.3938627243041992,0.46310198307037354,0.7878621220588684,0.15982979536056519,3.9,3.5,4.8,3.8,2.1
1,59,0.35110342502593994,0.4623819589614868,0.38453376293182373,0.40666645765304565,0.7359358072280884,0.3252672553062439,3.9,4.2,4.4,5.0,5.0
1,21,0.33225512504577637,0.7884314656257629,0.509823739528656,0.5142563581466675,0.3831595778465271,0.4954959452152252,4.0,3.0,4.3,3.8,3.3
2,61,0.3952638804912567,0.49114927649497986,0.33574485778808594,0.4925863742828369,0.5279699563980103,0.5045766234397888,5.0,4.2,4.9,4.9,3.5
2,50,0.7811611294746399,0.5464785099029541,0.5194756388664246,0.5853158235549927,0.5874683856964111,0.38948267698287964,3.9,3.8,3.8,4.5,4.8
1,48,0.7012351751327515,0.5042242407798767,0.2847762405872345,0.4806041121482849,0.6972826719284058,0.5235022306442261,1.7,2.6,4.1,2.8,3.5
1,34,0.46441471576690674,0.2323971390724182,0.4655812680721283,0.3062960207462311,0.5496702194213867,0.4479726254940033,2.3,3.7,3.0,4.0,2.4
1,26,0.28070247173309326,0.417751669883728,0.8334183096885681,0.8346967697143555,0.13392451405525208,0.8766697645187378,2.4,4.3,4.3,2.5,2.6
1,19,0.6230667233467102,0.6858727931976318,0.4458666443824768,0.3420923948287964,0.395654559135437,0.46390798687934875,2.8,4.6,2.7,4.1,3.5
2,33,0.6915572285652161,0.38168931007385254,0.23806750774383545,0.34768393635749817,0.5874683856964111,0.5424302816390991,2.3,2.3,3.7,3.7,4.2
2,36,0.38887307047843933,0.7241342067718506,0.42567670345306396,0.2338552474975586,0.6416661739349365,0.3582209050655365,3.7,3.3,4.3,4.8,4.1
2,21,0.5123516321182251,0.44426029920578003,0.5203577280044556,0.4799284040927887,0.5279699563980103,0.5053635239601135,3.2,2.8,4.2,4.6,3.2
2,20,0.3978149890899658,0.2847639322280884,0.3926960825920105,0.4739365577697754,0.5801399350166321,0.5031144618988037,3.7,3.1,4.1,4.1,3.8
2,35,0.7276663780212402,0.4829004406929016,0.4052661061286926,0.5796377658843994,0.4830864667892456,0.79573655128479,2.6,5.0,4.2,4.6,5.0
1,29,0.5267775654792786,0.7208648920059204,0.439190149307251,0.5066531896591187,0.4261816740036011,0.5235022306442261,2.4,3.1,4.0,4.0,3.5
2,36,0.7550636529922485,0.8585158586502075,0.4231630861759186,0.4205278754234314,0.4572528600692749,0.44070279598236084,3.7,2.1,4.1,4.4,3.4
1,29,0.5267775654792786,0.7208648920059204,0.439190149307251,0.5066531896591187,0.4261816740036011,0.5235022306442261,2.4,3.1,4.0,4.0,3.5
1,32,0.7218673229217529,0.7425706386566162,0.4467310905456543,0.46532225608825684,0.5557914972305298,0.20831871032714844,4.1,4.5,4.7,4.3,3.9
1,37,0.3459426164627075,0.690868616104126,0.365177720785141,0.4295738935470581,0.5150604844093323,0.301852285861969,4.2,3.5,3.4,3.8,2.2
1,38,0.41538137197494507,0.4230313301086426,0.5257585644721985,0.36840078234672546,0.5874683856964111,0.8521426320075989,2.7,2.4,5.0,4.7,2.6
2,22,0.4970552921295166,0.3692229092121124,0.43569302558898926,0.4287165403366089,0.6574002504348755,0.5837531089782715,3.0,1.6,4.2,4.1,3.3
2,24,0.7717685103416443,0.5310773253440857,0.45319664478302,0.3937663435935974,0.29221656918525696,0.5101564526557922,3.3,1.8,3.7,4.3,2.5
1,27,0.555888295173645,0.31708061695098877,0.3912304639816284,0.6085325479507446,0.5680801272392273,0.45643293857574463,4.7,1.7,4.4,2.5,4.1
1,47,0.3888861835002899,0.7270867824554443,0.4417869746685028,0.3504006266593933,0.4533992409706116,0.4628923833370209,1.3,1.7,2.6,3.0,4.0
1,28,0.4681699872016907,0.590093195438385,0.4074462652206421,0.3640008270740509,0.5899946689605713,0.5047410130500793,3.8,3.6,3.5,4.2,2.8
1,23,0.3927553594112396,0.788729190826416,0.5257585644721985,0.5043014287948608,0.5279699563980103,0.4954959452152252,1.3,3.2,3.6,3.2,4.1
2,54,0.4585198760032654,0.7690919637680054,0.4310579299926758,0.2584276795387268,0.7704340219497681,0.5179891586303711,3.2,3.5,4.2,4.6,4.0
2,38,0.7312235236167908,0.8134756088256836,0.46207648515701294,0.4341691732406616,0.5024561882019043,0.49906453490257263,3.6,3.5,3.4,4.2,3.5
2,19,0.7012351751327515,0.5154065489768982,0.46101003885269165,0.3889238238334656,0.5204334855079651,0.5324475765228271,4.6,2.5,4.4,3.9,2.2
1,38,0.3129088878631592,0.30826979875564575,0.41277727484703064,0.3692077398300171,0.4268849790096283,0.44632595777511597,2.6,2.5,2.8,3.2,2.6
2,29,0.3703542947769165,0.583960771560669,0.5203577280044556,0.5422738194465637,0.558784544467926,0.5097065567970276,4.0,3.2,3.9,4.2,4.1
1,28,0.400136798620224,0.5169041752815247,0.4699687957763672,0.4065198600292206,0.5726577639579773,0.3596192002296448,3.7,3.6,4.2,3.1,3.4
1,30,0.4748075604438782,0.4856470227241516,0.505408525466919,0.4273495674133301,0.3675963282585144,0.5431733131408691,3.9,4.6,3.9,3.2,4.0
1,30,0.3532257080078125,0.4430696964263916,0.4441371560096741,0.34151387214660645,0.36048460006713867,0.5692609548568726,1.6,2.1,3.3,4.1,3.6
1,32,0.7012351751327515,0.41509106755256653,0.8566524982452393,0.7049619555473328,0.4880456328392029,0.5174005627632141,3.6,3.0,4.6,3.9,3.5
1,18,0.40300023555755615,0.8701704740524292,0.38164401054382324,0.30238693952560425,0.47689148783683777,0.5423045754432678,2.6,3.5,3.7,4.7,4.0
1,19,0.7850819826126099,0.8277823328971863,0.4401523470878601,0.4475371539592743,0.6521873474121094,0.4954959452152252,1.6,3.6,3.1,2.8,2.9
2,29,0.7034609317779541,0.3646683692932129,0.35656166076660156,0.5131804943084717,0.5517897605895996,0.4389277696609497,1.4,3.5,5.0,2.5,3.1
2,21,0.6900926828384399,0.634918212890625,0.42007505893707275,0.34597018361091614,0.45828530192375183,0.3693119287490845,2.0,3.2,4.4,4.9,4.2
1,37,0.33225512504577637,0.8633694648742676,0.4462280571460724,0.4227478504180908,0.5149880051612854,0.5042541027069092,3.3,3.2,3.6,3.6,2.6
2,33,0.5364296436309814,0.4996080994606018,0.4717117249965668,0.4830259084701538,0.18083402514457703,0.4216304123401642,4.1,2.4,3.9,4.5,2.1
1,60,0.6504064798355103,0.7644882202148438,0.39223670959472656,0.5114760398864746,0.5941327810287476,0.4542398750782013,4.0,4.8,4.9,4.4,3.6
2,32,0.3378755748271942,0.4980009198188782,0.4337049126625061,0.4698283076286316,0.4447404742240906,0.3008729815483093,4.0,2.2,4.5,4.3,3.2
1,27,0.5620228052139282,0.4177657961845398,0.43187668919563293,0.269558310508728,0.6065135598182678,0.3976247310638428,2.3,2.6,4.1,3.1,3.1
1,27,0.41538137197494507,0.3197975754737854,0.8907413482666016,0.9081838130950928,0.5027486085891724,0.48440903425216675,1.2,2.0,3.0,2.5,2.6
2,26,0.6915572285652161,0.47409653663635254,0.4630318284034729,0.4369555115699768,0.7000327110290527,0.4389277696609497,2.4,1.7,3.3,2.8,2.4
